Comment,Designator,Footprint,LCSC Part #
1K,R5 R6 R14 R15 R16 R17,0603,C21190
10K,R3 R4 R7 R8 R9 R10 R11 R18,0603,C25804
470R,R1 R2 R12 R13 R19 R20 R21 R22,0603,C23179
4.7uF,C12,0603,C19666
10uF/25V,C1 C3 C4 C8 C10,0603,C96446
100n,C2 C5 C6 C7 C9 C11,0603,C14663
10118194-0001LF,J3,AMPHENOL_10118194-0001LF,C132563
AMS1117-3.3,U1,SOT223,C6186
Schottky Diode 40V 1A 600MV,D1,SOD323,C191023
Pushbutton SMD 342.5mm,SW1 SW2,157SW,C843669
BU01 UWB RF Module,U4,DWM1000,C503604
ESP32-C3-MINI-1-N4,U2,XCVR_ESP32-C3-MINI-1-N4,C2838502
LED 0603 red,"LED2, LED3",0603,C2286
LED 0805 blue,D2,0805,C2293
LED 0805 yellow,D3 D4 D5 D6,0805,C2296
S8050,Q1 Q2,SOT23,C2146
CP2102N or CP2102/9 USB Serial Converter,U3,GQFN-28,C6568
